DATE,CPI (Inflation),Unemployment Rate,Nonfarm Payrolls,Total job openings,Initial Claim,Labor force participation rate,Average hourly Earning
6/8/13,,,,,337000,,
6/15/13,,,,,353000,,
6/22/13,,,,,347000,,
6/29/13,,,,,340000,,
7/1/13,232.9,7.3,136391,3885,,63.3,23.98
7/6/13,,,,,351000,,
7/13/13,,,,,344000,,
7/20/13,,,,,355000,,
7/27/13,,,,,334000,,
8/1/13,233.456,7.2,136646,4085,,63.3,24.02
8/3/13,,,,,339000,,
8/10/13,,,,,327000,,
8/17/13,,,,,340000,,
8/24/13,,,,,336000,,
8/31/13,,,,,325000,,
9/1/13,233.544,7.2,136821,4128,,63.2,24.06
9/7/13,,,,,300000,,
9/14/13,,,,,323000,,
9/21/13,,,,,314000,,
9/28/13,,,,,319000,,
10/1/13,233.669,7.2,137041,4222,,62.8,24.09
10/5/13,,,,,368000,,
10/12/13,,,,,368000,,
10/19/13,,,,,351000,,
10/26/13,,,,,347000,,
11/1/13,234.1,6.9,137316,4119,,63,24.16
11/2/13,,,,,342000,,
11/9/13,,,,,340000,,
11/16/13,,,,,331000,,
11/23/13,,,,,316000,,
11/30/13,,,,,312000,,
12/1/13,234.719,6.7,137373,4121,,62.9,24.18
12/7/13,,,,,354000,,
12/14/13,,,,,364000,,
12/21/13,,,,,334000,,
12/28/13,,,,,332000,,
1/1/14,235.288,6.6,137561,4127,,62.9,24.23
1/4/14,,,,,322000,,
1/11/14,,,,,318000,,
1/18/14,,,,,327000,,
1/25/14,,,,,340000,,
2/1/14,235.547,6.7,137712,4373,331000,62.9,24.33
2/8/14,,,,,337000,,
2/15/14,,,,,332000,,
2/22/14,,,,,341000,,
3/1/14,236.028,6.7,137985,4388,319000,63.1,24.31
3/8/14,,,,,322000,,
3/15/14,,,,,321000,,
3/22/14,,,,,313000,,
3/29/14,,,,,330000,,
4/1/14,236.468,6.2,138297,4566,,62.8,24.34
4/5/14,,,,,311000,,
4/12/14,,,,,308000,,
4/19/14,,,,,327000,,
4/26/14,,,,,345000,,
5/1/14,236.918,6.3,138512,4747,,62.9,24.4
5/3/14,,,,,325000,,
5/10/14,,,,,303000,,
5/17/14,,,,,324000,,
5/24/14,,,,,305000,,
5/31/14,,,,,312000,,
6/1/14,237.231,6.1,138849,4982,,62.8,24.46
6/7/14,,,,,317000,,
6/14/14,,,,,314000,,
6/21/14,,,,,315000,,
6/28/14,,,,,308000,,
7/1/14,237.498,6.2,139073,4846,,62.9,24.48
7/5/14,,,,,302000,,
7/12/14,,,,,308000,,
7/19/14,,,,,294000,,
7/26/14,,,,,303000,,
8/1/14,237.46,6.1,139269,5349,,62.9,24.54
8/2/14,,,,,295000,,
8/9/14,,,,,309000,,
8/16/14,,,,,303000,,
8/23/14,,,,,300000,,
8/30/14,,,,,303000,,
9/1/14,237.477,5.9,139563,4914,,62.8,24.55
9/6/14,,,,,307000,,
9/13/14,,,,,288000,,
9/20/14,,,,,295000,,
9/27/14,,,,,290000,,
10/1/14,237.43,5.7,139797,5012,,62.9,24.58
10/4/14,,,,,293000,,
10/11/14,,,,,281000,,
10/18/14,,,,,290000,,
10/25/14,,,,,291000,,
11/1/14,236.983,5.8,140090,4843,280000,62.9,24.66
11/8/14,,,,,291000,,
11/15/14,,,,,293000,,
11/22/14,,,,,303000,,
11/29/14,,,,,291000,,
12/1/14,236.252,5.6,140364,5130,,62.8,24.63
12/6/14,,,,,291000,,
12/13/14,,,,,286000,,
12/20/14,,,,,276000,,
12/27/14,,,,,285000,,
1/1/15,234.747,5.7,140568,5344,,62.9,24.75
1/3/15,,,,,294000,,
1/10/15,,,,,304000,,
1/17/15,,,,,298000,,
1/24/15,,,,,261000,,
1/31/15,,,,,281000,,
2/1/15,235.342,5.5,140827,5466,,62.7,24.8
2/7/15,,,,,298000,,
2/14/15,,,,,285000,,
2/21/15,,,,,305000,,
2/28/15,,,,,317000,,
3/1/15,235.976,5.4,140923,5210,,62.6,24.85
3/7/15,,,,,293000,,
3/14/15,,,,,290000,,
3/21/15,,,,,284000,,
3/28/15,,,,,269000,,
4/1/15,236.222,5.4,141196,5598,,62.8,24.89
4/4/15,,,,,282000,,
4/11/15,,,,,298000,,
4/18/15,,,,,295000,,
4/25/15,,,,,269000,,
5/1/15,237.001,5.6,141538,5563,,62.9,24.97
5/2/15,,,,,267000,,
5/9/15,,,,,271000,,
5/16/15,,,,,276000,,
5/23/15,,,,,281000,,
5/30/15,,,,,275000,,
6/1/15,237.657,5.3,141709,5248,,62.7,24.97
6/6/15,,,,,278000,,
6/13/15,,,,,269000,,
6/20/15,,,,,273000,,
6/27/15,,,,,275000,,
7/1/15,238.034,5.2,141991,6056,,62.6,25.01
7/4/15,,,,,292000,,
7/11/15,,,,,285000,,
7/18/15,,,,,265000,,
7/25/15,,,,,269000,,
8/1/15,238.033,5.1,142125,5467,270000,62.6,25.09
8/8/15,,,,,274000,,
8/15/15,,,,,279000,,
8/22/15,,,,,274000,,
8/29/15,,,,,279000,,
9/1/15,237.498,5,142275,5488,,62.4,25.11
9/5/15,,,,,273000,,
9/12/15,,,,,264000,,
9/19/15,,,,,269000,,
9/26/15,,,,,272000,,
10/1/15,237.733,5,142579,5773,,62.5,25.2
10/3/15,,,,,267000,,
10/10/15,,,,,265000,,
10/17/15,,,,,264000,,
10/24/15,,,,,264000,,
10/31/15,,,,,275000,,
11/1/15,238.017,5.1,142808,5708,,62.5,25.25
11/7/15,,,,,276000,,
11/14/15,,,,,272000,,
11/21/15,,,,,261000,,
11/28/15,,,,,265000,,
12/1/15,237.761,5,143077,5845,,62.7,25.25
12/5/15,,,,,280000,,
12/12/15,,,,,268000,,
12/19/15,,,,,260000,,
12/26/15,,,,,276000,,
1/1/16,237.652,4.8,143210,6012,,62.7,25.37
1/2/16,,,,,273000,,
1/9/16,,,,,284000,,
1/16/16,,,,,290000,,
1/23/16,,,,,269000,,
1/30/16,,,,,282000,,
2/1/16,237.336,4.9,143407,5770,,62.8,25.38
2/6/16,,,,,266000,,
2/13/16,,,,,262000,,
2/20/16,,,,,270000,,
2/27/16,,,,,269000,,
3/1/16,238.08,5,143662,6129,,63,25.45
3/5/16,,,,,255000,,
3/12/16,,,,,263000,,
3/19/16,,,,,264000,,
3/26/16,,,,,271000,,
4/1/16,238.992,5.1,143855,5803,,62.9,25.53
4/2/16,,,,,273000,,
4/9/16,,,,,263000,,
4/16/16,,,,,257000,,
4/23/16,,,,,259000,,
4/30/16,,,,,278000,,
5/1/16,239.557,4.8,143900,5777,,62.7,25.58
5/7/16,,,,,289000,,
5/14/16,,,,,279000,,
5/21/16,,,,,267000,,
5/28/16,,,,,263000,,
6/1/16,240.222,4.9,144146,5742,,62.7,25.62
6/4/16,,,,,265000,,
6/11/16,,,,,273000,,
6/18/16,,,,,261000,,
6/25/16,,,,,262000,,
7/1/16,240.101,4.8,144520,5962,,62.8,25.69
7/2/16,,,,,255000,,
7/9/16,,,,,252000,,
7/16/16,,,,,260000,,
7/23/16,,,,,264000,,
7/30/16,,,,,266000,,
8/1/16,240.545,4.9,144662,5677,,62.9,25.71
8/6/16,,,,,265000,,
8/13/16,,,,,264000,,
8/20/16,,,,,264000,,
8/27/16,,,,,261000,,
9/1/16,241.176,5,144967,5868,,62.9,25.77
9/3/16,,,,,257000,,
9/10/16,,,,,252000,,
9/17/16,,,,,250000,,
9/24/16,,,,,247000,,
10/1/16,241.741,4.9,145066,5591,245000,62.8,25.9
10/8/16,,,,,250000,,
10/15/16,,,,,263000,,
10/22/16,,,,,256000,,
10/29/16,,,,,265000,,
11/1/16,242.026,4.7,145183,5971,,62.7,25.9
11/5/16,,,,,250000,,
11/12/16,,,,,232000,,
11/19/16,,,,,246000,,
11/26/16,,,,,255000,,
12/1/16,242.637,4.7,145408,5964,,62.7,25.93
12/3/16,,,,,248000,,
12/10/16,,,,,252000,,
12/17/16,,,,,260000,,
12/24/16,,,,,257000,,
12/31/16,,,,,244000,,
1/1/17,243.618,4.7,145628,5617,,62.8,26
1/7/17,,,,,245000,,
1/14/17,,,,,240000,,
1/21/17,,,,,250000,,
1/28/17,,,,,241000,,
2/1/17,244.006,4.6,145848,5923,,62.9,26.07
2/4/17,,,,,230000,,
2/11/17,,,,,233000,,
2/18/17,,,,,237000,,
2/25/17,,,,,221000,,
3/1/17,243.892,4.4,145969,5811,,62.9,26.11
3/4/17,,,,,236000,,
3/11/17,,,,,228000,,
3/18/17,,,,,235000,,
3/25/17,,,,,236000,,
4/1/17,244.193,4.4,146174,6091,216000,63,26.17
4/8/17,,,,,222000,,
4/15/17,,,,,231000,,
4/22/17,,,,,238000,,
4/29/17,,,,,232000,,
5/1/17,244.004,4.4,146380,5826,,62.8,26.21
5/6/17,,,,,233000,,
5/13/17,,,,,234000,,
5/20/17,,,,,236000,,
5/27/17,,,,,253000,,
6/1/17,244.163,4.3,146583,6305,,62.8,26.26
6/3/17,,,,,251000,,
6/10/17,,,,,245000,,
6/17/17,,,,,249000,,
6/24/17,,,,,247000,,
7/1/17,244.243,4.3,146772,6238,256000,62.9,26.35
7/8/17,,,,,259000,,
7/15/17,,,,,245000,,
7/22/17,,,,,249000,,
7/29/17,,,,,245000,,
8/1/17,245.183,4.4,146919,6276,,62.9,26.37
8/5/17,,,,,254000,,
8/12/17,,,,,245000,,
8/19/17,,,,,245000,,
8/26/17,,,,,247000,,
9/1/17,246.435,4.3,147007,6320,,63.1,26.49
9/2/17,,,,,297000,,
9/9/17,,,,,280000,,
9/16/17,,,,,261000,,
9/23/17,,,,,264000,,
9/30/17,,,,,260000,,
10/1/17,246.626,4.2,147150,6408,,62.7,26.5
10/7/17,,,,,252000,,
10/14/17,,,,,235000,,
10/21/17,,,,,241000,,
10/28/17,,,,,241000,,
11/1/17,247.284,4.2,147373,6271,,62.7,26.54
11/4/17,,,,,248000,,
11/11/17,,,,,254000,,
11/18/17,,,,,246000,,
11/25/17,,,,,243000,,
12/1/17,247.805,4.1,147523,6336,,62.7,26.63
12/2/17,,,,,241000,,
12/9/17,,,,,229000,,
12/16/17,,,,,244000,,
12/23/17,,,,,251000,,
12/30/17,,,,,248000,,
1/1/18,248.859,4,147660,6621,,62.7,26.72
1/6/18,,,,,252000,,
1/13/18,,,,,230000,,
1/20/18,,,,,231000,,
1/27/18,,,,,228000,,
2/1/18,249.529,4.1,148054,6552,,63,26.74
2/3/18,,,,,224000,,
2/10/18,,,,,225000,,
2/17/18,,,,,219000,,
2/24/18,,,,,216000,,
3/1/18,249.577,4,148280,6818,,62.9,26.85
3/3/18,,,,,228000,,
3/10/18,,,,,223000,,
3/17/18,,,,,225000,,
3/24/18,,,,,221000,,
3/31/18,,,,,232000,,
4/1/18,250.227,4,148422,6877,,62.9,26.91
4/7/18,,,,,234000,,
4/14/18,,,,,236000,,
4/21/18,,,,,207000,,
4/28/18,,,,,209000,,
5/1/18,250.792,3.8,148740,7016,,62.9,26.98
5/5/18,,,,,211000,,
5/12/18,,,,,222000,,
5/19/18,,,,,230000,,
5/26/18,,,,,222000,,
6/1/18,251.018,4,148959,7230,,63,27.03
6/2/18,,,,,223000,,
6/9/18,,,,,222000,,
6/16/18,,,,,218000,,
6/23/18,,,,,222000,,
6/30/18,,,,,228000,,
7/1/18,251.214,3.8,149020,7190,,63,27.1
7/7/18,,,,,216000,,
7/14/18,,,,,205000,,
7/21/18,,,,,210000,,
7/28/18,,,,,207000,,
8/1/18,251.663,3.8,149279,7208,,62.6,27.21
8/4/18,,,,,210000,,
8/11/18,,,,,206000,,
8/18/18,,,,,207000,,
8/25/18,,,,,211000,,
9/1/18,252.182,3.7,149358,7411,201000,62.8,27.32
9/8/18,,,,,204000,,
9/15/18,,,,,206000,,
9/22/18,,,,,205000,,
9/29/18,,,,,210000,,
10/1/18,252.772,3.8,149526,7304,,62.9,27.37
10/6/18,,,,,211000,,
10/13/18,,,,,208000,,
10/20/18,,,,,217000,,
10/27/18,,,,,216000,,
11/1/18,252.594,3.8,149617,7594,,62.9,27.44
11/3/18,,,,,218000,,
11/10/18,,,,,221000,,
11/17/18,,,,,225000,,
11/24/18,,,,,237000,,
12/1/18,252.767,3.9,149809,7489,232000,63,27.56
12/8/18,,,,,208000,,
12/15/18,,,,,217000,,
12/22/18,,,,,228000,,
12/29/18,,,,,238000,,
1/1/19,252.561,4,150059,7502,,63.1,27.59
1/5/19,,,,,225000,,
1/12/19,,,,,218000,,
1/19/19,,,,,214000,,
1/26/19,,,,,234000,,
2/1/19,253.319,3.8,150065,7066,,63.1,27.69
2/2/19,,,,,232000,,
2/9/19,,,,,226000,,
2/16/19,,,,,211000,,
2/23/19,,,,,221000,,
3/1/19,254.277,3.8,150295,7317,,63,27.77
3/2/19,,,,,216000,,
3/9/19,,,,,218000,,
3/16/19,,,,,212000,,
3/23/19,,,,,210000,,
3/30/19,,,,,203000,,
4/1/19,255.233,3.7,150593,7272,,62.8,27.79
4/6/19,,,,,196000,,
4/13/19,,,,,197000,,
4/20/19,,,,,222000,,
4/27/19,,,,,224000,,
5/1/19,255.296,3.6,150621,7275,,62.9,27.88
5/4/19,,,,,225000,,
5/11/19,,,,,212000,,
5/18/19,,,,,215000,,
5/25/19,,,,,222000,,
6/1/19,255.213,3.6,150839,7194,223000,63,27.96
6/8/19,,,,,226000,,
6/15/19,,,,,217000,,
6/22/19,,,,,234000,,
6/29/19,,,,,226000,,
7/1/19,255.802,3.7,150936,7042,,63.1,28.03
7/6/19,,,,,215000,,
7/13/19,,,,,211000,,
7/20/19,,,,,202000,,
7/27/19,,,,,206000,,
8/1/19,256.036,3.6,151171,7178,,63.1,28.14
8/3/19,,,,,208000,,
8/10/19,,,,,212000,,
8/17/19,,,,,207000,,
8/24/19,,,,,213000,,
8/31/19,,,,,215000,,
9/1/19,256.43,3.5,151365,7124,,63.2,28.16
9/7/19,,,,,207000,,
9/14/19,,,,,205000,,
9/21/19,,,,,211000,,
9/28/19,,,,,215000,,
10/1/19,257.155,3.6,151460,7289,,63.3,28.23
10/5/19,,,,,209000,,
10/12/19,,,,,215000,,
10/19/19,,,,,210000,,
10/26/19,,,,,215000,,
11/1/19,257.879,3.6,151668,6888,,63.3,28.34
11/2/19,,,,,214000,,
11/9/19,,,,,227000,,
11/16/19,,,,,229000,,
11/23/19,,,,,221000,,
11/30/19,,,,,231000,,
12/1/19,258.63,3.6,151795,6699,,63.3,28.38
12/7/19,,,,,247000,,
12/14/19,,,,,236000,,
12/21/19,,,,,230000,,
12/28/19,,,,,231000,,
1/1/20,259.127,3.6,152031,7124,,63.3,28.43
1/4/20,,,,,224000,,
1/11/20,,,,,207000,,
1/18/20,,,,,221000,,
1/25/20,,,,,210000,,
2/1/20,259.25,3.5,152292,6966,207000,63.3,28.54
2/8/20,,,,,202000,,
2/15/20,,,,,209000,,
2/22/20,,,,,218000,,
2/29/20,,,,,215000,,
3/1/20,258.076,4.4,150895,5894,,62.6,28.74
3/7/20,,,,,208000,,
3/14/20,,,,,273000,,
3/21/20,,,,,2914000,,
3/28/20,,,,,5946000,,
4/1/20,256.032,14.8,130424,4606,,60.1,30.04
4/4/20,,,,,6137000,,
4/11/20,,,,,4869000,,
4/18/20,,,,,4201000,,
4/25/20,,,,,3446000,,
5/1/20,255.802,13.2,133040,5612,,60.8,29.72
5/2/20,,,,,2796000,,
5/9/20,,,,,2335000,,
5/16/20,,,,,2176000,,
5/23/20,,,,,1921000,,
5/30/20,,,,,1639000,,
6/1/20,257.042,11,137671,6129,,61.5,29.38
6/6/20,,,,,1575000,,
6/13/20,,,,,1473000,,
6/20/20,,,,,1467000,,
6/27/20,,,,,1446000,,
7/1/20,258.352,10.2,139255,6530,,61.5,29.39
7/4/20,,,,,1413000,,
7/11/20,,,,,1468000,,
7/18/20,,,,,1393000,,
7/25/20,,,,,1260000,,
8/1/20,259.316,8.4,140819,6429,1044000,61.7,29.5
8/8/20,,,,,884000,,
8/15/20,,,,,927000,,
8/22/20,,,,,876000,,
8/29/20,,,,,881000,,
9/1/20,259.997,7.8,141770,6511,,61.4,29.51
9/5/20,,,,,892000,,
9/12/20,,,,,861000,,
9/19/20,,,,,859000,,
9/26/20,,,,,795000,,
10/1/20,260.319,6.9,142461,6798,,61.7,29.55
10/3/20,,,,,785000,,
10/10/20,,,,,839000,,
10/17/20,,,,,804000,,
10/24/20,,,,,776000,,
10/31/20,,,,,773000,,
11/1/20,260.911,6.7,142731,6820,,61.5,29.64
11/7/20,,,,,737000,,
11/14/20,,,,,738000,,
11/21/20,,,,,793000,,
11/28/20,,,,,737000,,
12/1/20,262.045,6.7,142548,6773,,61.5,29.91
12/5/20,,,,,873000,,
12/12/20,,,,,886000,,
12/19/20,,,,,815000,,
12/26/20,,,,,773000,,
1/1/21,262.639,6.4,142913,7204,,61.4,29.92
1/2/21,,,,,803000,,
1/9/21,,,,,890000,,
1/16/21,,,,,844000,,
1/23/21,,,,,799000,,
1/30/21,,,,,803000,,
2/1/21,263.573,6.2,143422,7752,,61.4,30.07
2/6/21,,,,,812000,,
2/13/21,,,,,802000,,
2/20/21,,,,,702000,,
2/27/21,,,,,704000,,
3/1/21,264.847,6.1,144246,8470,,61.5,30.04
3/6/21,,,,,693000,,
3/13/21,,,,,699000,,
3/20/21,,,,,627000,,
3/27/21,,,,,658000,,
4/1/21,266.625,6.1,144611,9356,,61.6,30.23
4/3/21,,,,,645000,,
4/10/21,,,,,571000,,
4/17/21,,,,,566000,,
4/24/21,,,,,574000,,
5/1/21,268.404,5.8,145032,9905,517000,61.6,30.41
5/8/21,,,,,494000,,
5/15/21,,,,,467000,,
5/22/21,,,,,441000,,
5/29/21,,,,,427000,,
6/1/21,270.71,5.9,145828,10298,,61.7,30.55
6/5/21,,,,,420000,,
6/12/21,,,,,428000,,
6/19/21,,,,,422000,,
6/26/21,,,,,369000,,
7/1/21,271.965,5.4,146759,11049,,61.8,30.66
7/3/21,,,,,371000,,
7/10/21,,,,,332000,,
7/17/21,,,,,387000,,
7/24/21,,,,,380000,,
7/31/21,,,,,380000,,
8/1/21,272.752,5.1,147246,10956,,61.7,30.79
8/7/21,,,,,361000,,
8/14/21,,,,,368000,,
8/21/21,,,,,358000,,
8/28/21,,,,,353000,,
9/1/21,273.942,4.7,147712,10879,,61.7,30.96
9/4/21,,,,,337000,,
9/11/21,,,,,344000,,
9/18/21,,,,,367000,,
9/25/21,,,,,374000,,
10/1/21,276.528,4.5,148569,11341,,61.8,31.15
10/2/21,,,,,314000,,
10/9/21,,,,,290000,,
10/16/21,,,,,290000,,
10/23/21,,,,,268000,,
10/30/21,,,,,262000,,
11/1/21,278.824,4.2,149206,11119,,61.9,31.25
11/6/21,,,,,251000,,
11/13/21,,,,,250000,,
11/20/21,,,,,223000,,
11/27/21,,,,,222000,,
12/1/21,280.806,3.9,149781,11417,,62,31.41
12/4/21,,,,,207000,,
12/11/21,,,,,227000,,
12/18/21,,,,,215000,,
12/25/21,,,,,216000,,
1/1/22,282.542,4,150006,11238,227000,62.2,31.62
1/8/22,,,,,247000,,
1/15/22,,,,,245000,,
1/22/22,,,,,238000,,
1/29/22,,,,,231000,,
2/1/22,284.525,3.8,150875,11661,,62.2,31.66
2/5/22,,,,,210000,,
2/12/22,,,,,234000,,
2/19/22,,,,,225000,,
2/26/22,,,,,209000,,
3/1/22,287.467,3.7,151346,12134,,62.3,31.82
3/5/22,,,,,222000,,
3/12/22,,,,,217000,,
3/19/22,,,,,207000,,
3/26/22,,,,,214000,,
4/1/22,288.582,3.7,151651,11881,,62.2,31.96
4/2/22,,,,,215000,,
4/9/22,,,,,213000,,
4/16/22,,,,,209000,,
4/23/22,,,,,210000,,
4/30/22,,,,,219000,,
5/1/22,291.299,3.6,151892,11483,,62.3,32.1
5/7/22,,,,,204000,,
5/14/22,,,,,225000,,
5/21/22,,,,,211000,,
5/28/22,,,,,200000,,
6/1/22,295.072,3.6,152353,11256,,62.2,32.2
6/4/22,,,,,214000,,
6/11/22,,,,,213000,,
6/18/22,,,,,215000,,
6/25/22,,,,,212000,,
7/1/22,294.94,3.5,153049,11610,,62.1,32.35
7/2/22,,,,,215000,,
7/9/22,,,,,212000,,
7/16/22,,,,,216000,,
7/23/22,,,,,220000,,
7/30/22,,,,,228000,,
8/1/22,295.162,3.6,153286,10148,,62.3,32.44
8/6/22,,,,,221000,,
8/13/22,,,,,220000,,
8/20/22,,,,,215000,,
8/27/22,,,,,210000,,
9/1/22,296.421,3.5,153513,10812,,62.3,32.55
9/3/22,,,,,204000,,
9/10/22,,,,,197000,,
9/17/22,,,,,201000,,
9/24/22,,,,,189000,,
10/1/22,297.979,3.6,153913,10488,204000,62.2,32.7
10/8/22,,,,,206000,,
10/15/22,,,,,199000,,
10/22/22,,,,,201000,,
10/29/22,,,,,202000,,
11/1/22,298.708,3.6,154210,10619,,62.1,32.84
11/5/22,,,,,204000,,
11/12/22,,,,,210000,,
11/19/22,,,,,220000,,
11/26/22,,,,,209000,,
12/1/22,298.808,3.5,154336,10876,,62.3,32.96
12/3/22,,,,,209000,,
12/10/22,,,,,210000,,
12/17/22,,,,,213000,,
12/24/22,,,,,204000,,
12/31/22,,,,,204000,,
1/1/23,300.456,3.5,154780,10393,,62.4,33.05
1/7/23,,,,,208000,,
1/14/23,,,,,203000,,
1/21/23,,,,,203000,,
1/28/23,,,,,200000,,
2/1/23,301.476,3.6,155086,9846,,62.5,33.16
2/4/23,,,,,215000,,
2/11/23,,,,,219000,,
2/18/23,,,,,217000,,
2/25/23,,,,,209000,,
3/1/23,301.643,3.5,155171,9572,,62.6,33.28
3/4/23,,,,,229000,,
3/11/23,,,,,222000,,
3/18/23,,,,,230000,,
3/25/23,,,,,234000,,
4/1/23,302.858,3.4,155387,9992,217000,62.6,33.42
4/8/23,,,,,219000,,
4/15/23,,,,,223000,,
4/22/23,,,,,210000,,
4/29/23,,,,,214000,,
5/1/23,303.316,3.6,155614,9310,,62.6,33.52
5/6/23,,,,,223000,,
5/13/23,,,,,225000,,
5/20/23,,,,,227000,,
5/27/23,,,,,230000,,
6/1/23,304.099,3.6,155871,9191,,62.6,33.69
6/3/23,,,,,253000,,
6/10/23,,,,,258000,,
6/17/23,,,,,260000,,
6/24/23,,,,,236000,,
7/1/23,304.615,3.5,156019,8606,248000,62.6,33.84
7/8/23,,,,,229000,,
7/15/23,,,,,228000,,
7/22/23,,,,,231000,,
7/29/23,,,,,238000,,
8/1/23,306.138,3.7,156176,9287,,62.8,33.89
8/5/23,,,,,258000,,
8/12/23,,,,,248000,,
8/19/23,,,,,240000,,
8/26/23,,,,,234000,,
9/1/23,307.374,3.8,156334,9279,,62.7,33.99
9/2/23,,,,,227000,,
9/9/23,,,,,227000,,
9/16/23,,,,,210000,,
9/23/23,,,,,215000,,
9/30/23,,,,,216000,,
10/1/23,307.653,3.9,156520,8550,,62.7,34.07
10/7/23,,,,,210000,,
10/14/23,,,,,200000,,
10/21/23,,,,,214000,,
10/28/23,,,,,217000,,
11/1/23,308.087,3.7,156661,8663,,62.8,34.19
11/4/23,,,,,216000,,
11/11/23,,,,,229000,,
11/18/23,,,,,213000,,
11/25/23,,,,,214000,,
12/1/23,308.735,3.8,156930,8585,,62.5,34.31
12/2/23,,,,,216000,,
12/9/23,,,,,204000,,
12/16/23,,,,,209000,,
12/23/23,,,,,210000,,
12/30/23,,,,,198000,,
1/1/24,309.794,3.7,157049,8468,,62.5,34.47
1/6/24,,,,,199000,,
1/13/24,,,,,193000,,
1/20/24,,,,,223000,,
1/27/24,,,,,225000,,
2/1/24,311.022,3.9,157271,8445,,62.6,34.54
2/3/24,,,,,214000,,
2/10/24,,,,,212000,,
2/17/24,,,,,203000,,
2/24/24,,,,,214000,,
3/1/24,312.107,3.9,157517,8093,,62.7,34.67
3/2/24,,,,,212000,,
3/9/24,,,,,213000,,
3/16/24,,,,,213000,,
3/23/24,,,,,214000,,
3/30/24,,,,,223000,,
4/1/24,313.016,3.9,157635,7619,,62.7,34.75
4/6/24,,,,,212000,,
4/13/24,,,,,211000,,
4/20/24,,,,,209000,,
4/27/24,,,,,209000,,
5/1/24,313.14,4,157828,7901,,62.6,34.89
5/4/24,,,,,229000,,
5/11/24,,,,,222000,,
5/18/24,,,,,216000,,
5/25/24,,,,,221000,,
6/1/24,313.131,4.1,157915,7412,229000,62.6,35
6/8/24,,,,,241000,,
6/15/24,,,,,237000,,
6/22/24,,,,,233000,,
6/29/24,,,,,238000,,
7/1/24,313.566,4.2,158003,7504,,62.7,35.07
7/6/24,,,,,222000,,
7/13/24,,,,,240000,,
7/20/24,,,,,236000,,
7/27/24,,,,,248000,,
8/1/24,314.131,4.2,158074,7649,,62.7,35.23
8/3/24,,,,,234000,,
8/10/24,,,,,228000,,
8/17/24,,,,,232000,,
8/24/24,,,,,232000,,
8/31/24,,,,,228000,,
9/1/24,314.851,4.1,158314,7103,,62.7,35.33
9/7/24,,,,,230000,,
9/14/24,,,,,222000,,
9/21/24,,,,,221000,,
9/28/24,,,,,227000,,
10/1/24,315.564,4.1,158358,7615,,62.5,35.48
10/5/24,,,,,259000,,
10/12/24,,,,,240000,,
10/19/24,,,,,228000,,
10/26/24,,,,,218000,,
11/1/24,316.449,4.2,158619,8031,,62.5,35.61
11/2/24,,,,,221000,,
11/9/24,,,,,219000,,
11/16/24,,,,,216000,,
11/23/24,,,,,216000,,
11/30/24,,,,,225000,,
12/1/24,317.603,4.1,158942,7508,,62.5,35.68
12/7/24,,,,,239000,,
12/14/24,,,,,222000,,
12/21/24,,,,,219000,,
12/28/24,,,,,209000,,
1/1/25,319.086,4,159053,7762,,62.6,35.83
1/4/25,,,,,205000,,
1/11/25,,,,,217000,,
1/18/25,,,,,222000,,
1/25/25,,,,,210000,,
2/1/25,319.775,4.1,159155,7480,222000,62.4,35.9
2/8/25,,,,,215000,,
2/15/25,,,,,224000,,
2/22/25,,,,,243000,,
3/1/25,319.615,4.2,159275,7200,224000,62.5,36.02
3/8/25,,,,,223000,,
3/15/25,,,,,225000,,
3/22/25,,,,,225000,,
3/29/25,,,,,219000,,
4/1/25,320.321,4.2,159433,7395,,62.6,36.08
4/5/25,,,,,224000,,
4/12/25,,,,,216000,,
4/19/25,,,,,223000,,
4/26/25,,,,,241000,,
5/1/25,320.58,4.2,159452,7712,,62.4,36.23
5/3/25,,,,,229000,,
5/10/25,,,,,228000,,
5/17/25,,,,,226000,,
5/24/25,,,,,239000,,
5/31/25,,,,,248000,,
6/1/25,321.5,4.1,159439,7357,,62.3,36.31
6/7/25,,,,,250000,,
6/14/25,,,,,246000,,
6/21/25,,,,,237000,,
6/28/25,,,,,232000,,
7/1/25,322.132,4.2,159511,7208,,62.2,36.43
7/5/25,,,,,228000,,
7/12/25,,,,,221000,,
7/19/25,,,,,217000,,
7/26/25,,,,,219000,,
8/1/25,323.364,4.3,159485,7227,,62.3,36.58
8/2/25,,,,,227000,,
8/9/25,,,,,224000,,
8/16/25,,,,,234000,,
8/23/25,,,,,229000,,
8/30/25,,,,,236000,,
9/1/25,324.368,4.4,159593,7658,,62.4,36.65
9/6/25,,,,,264000,,
9/13/25,,,,,232000,,
9/20/25,,,,,219000,,
9/27/25,,,,,224000,,
10/1/25,,,159488,7670,,,36.81
10/4/25,,,,,235000,,
10/11/25,,,,,220000,,
10/18/25,,,,,232000,,
10/25/25,,,,,220000,,
11/1/25,325.031,4.6,159552,,229000,62.5,36.86
11/8/25,,,,,228000,,
11/15/25,,,,,222000,,
11/22/25,,,,,217000,,
11/29/25,,,,,192000,,
12/6/25,,,,,237000,,
12/13/25,,,,,224000,,
